image_name,fold,haze,bare_ground,partly_cloudy,blow_down,primary,slash_burn,blooming,habitation,road,water,selective_logging,clear,cloudy,cultivation,conventional_mine,agriculture,artisinal_mine
train_0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train_2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_3,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_4,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_5,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
train_6,7,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
train_7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_8,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_9,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
train_10,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
train_11,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_15,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_16,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_17,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_18,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_19,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_20,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train_21,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
train_22,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_23,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_24,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
train_25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_26,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_27,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
train_28,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_29,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_30,9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_31,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
train_32,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_33,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
train_34,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_35,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_36,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_37,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_38,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_39,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_40,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_41,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_42,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_43,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_44,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_45,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_46,8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
train_47,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_48,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_49,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_50,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_52,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0
train_53,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_54,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_55,5,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
train_56,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_57,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
train_58,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_59,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_60,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_61,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_62,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_63,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
