image_name,fold,slash_burn,road,artisinal_mine,water,agriculture,clear,bare_ground,partly_cloudy,selective_logging,cloudy,conventional_mine,blooming,cultivation,haze,blow_down,habitation,primary
train_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
train_6,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
train_7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_8,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_9,4,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_10,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_11,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_12,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_14,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_15,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_16,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_18,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_19,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_20,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_21,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_22,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_23,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
