image_name,fold,road,artisinal_mine,cloudy,selective_logging,blooming,agriculture,haze,slash_burn,habitation,clear,water,conventional_mine,cultivation,blow_down,primary,bare_ground,partly_cloudy
train_0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_4,9,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_5,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
train_6,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0
train_7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_8,8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_9,8,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_10,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
train_11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_16,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_18,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_19,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_20,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_21,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_23,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
train_25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_26,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_27,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
train_28,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_30,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_31,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
train_32,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_33,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
train_34,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_36,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_38,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_40,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_41,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_42,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_43,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
train_44,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_45,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_46,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
train_47,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_48,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_49,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_51,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_52,7,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
train_53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_54,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_55,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
train_56,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_57,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
train_58,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_59,5,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_60,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_61,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_62,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_63,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_64,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_65,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_66,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_67,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
train_68,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_69,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_70,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
train_71,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_72,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_73,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_74,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_75,6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_77,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_78,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_79,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
train_80,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_81,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_82,8,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
train_83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_84,5,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_85,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_86,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_87,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_89,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_90,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_91,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_92,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_94,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_95,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_96,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_97,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_98,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_100,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
train_101,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_102,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_103,7,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
train_104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_105,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_106,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_108,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_109,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_110,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_111,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_112,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_113,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_114,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_115,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_116,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_117,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_118,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_119,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_120,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_121,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
train_122,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_123,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
train_124,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
train_125,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_126,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_127,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_128,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_129,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_130,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_131,8,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_134,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_135,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_136,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_137,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_139,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_141,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
train_142,7,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_143,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
train_144,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
train_145,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_146,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
train_147,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_148,7,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0
train_149,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_150,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_151,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
train_152,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_153,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
