image_name,fold,partly_cloudy,haze,clear,primary,cultivation,bare_ground,road,artisinal_mine,blow_down,selective_logging,slash_burn,water,habitation,cloudy,blooming,conventional_mine,agriculture
train_0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_4,7,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_6,9,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
train_7,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_8,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_9,6,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
train_10,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
train_11,9,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_13,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_15,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_18,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_19,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_20,9,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_21,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_22,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_24,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
train_25,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_27,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_28,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_29,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_30,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
