image_name,fold,bare_ground,haze,artisinal_mine,selective_logging,agriculture,cultivation,clear,partly_cloudy,blooming,slash_burn,water,blow_down,road,primary,cloudy,habitation,conventional_mine
train_0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_1,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
train_2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_4,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
train_5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
train_6,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
train_7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_8,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
train_9,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
train_10,4,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
train_11,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
train_13,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
train_15,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
train_18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_19,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
train_20,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
train_21,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
train_22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
train_23,4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
train_24,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
train_25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
train_27,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
train_28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
train_30,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_31,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
train_32,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
train_33,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
train_34,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_36,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
train_37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
train_38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_40,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
train_41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
train_42,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_43,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_45,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_46,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
train_47,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_48,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_49,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
train_51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_52,4,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
train_53,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_54,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_55,3,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
train_56,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_57,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_58,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
train_59,4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
train_60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_61,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_62,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
train_63,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
